city,locality,bhk,rent,size_sqft,furnishing,bathrooms,latitude,longitude,source
Delhi,Vasant Vihar,14.0,1446000.0,6412.0,Unfurnished,14.0,28.557827,77.1611168,makaan
Delhi,Chanakya Puri,12.0,3500000.0,19800.0,Semi-Furnished,12.0,28.7041,77.1025,makaan
Mumbai,Worli,5.0,1500000.0,6500.0,Semi-Furnished,6.0,19.0117388,72.8178706,makaan
Mumbai,Bandra West,4.0,1300000.0,5800.0,Semi-Furnished,4.0,19.0583358,72.8302669,makaan
Mumbai,Worli,4.0,1600000.0,7000.0,Furnished,4.0,19.0117388,72.8178706,makaan
Delhi,DLF Farms,8.0,1400000.0,"7,200 sq ft",Semi-Furnished,8.0,28.48815346,77.15697479,april2024
Delhi,Central Ridge Reserve Forest,4.0,2000000.0,"7,000 sq ft",Semi-Furnished,4.0,28.60680962,77.18360138,april2024
Delhi,Tuglak Road,5.0,2162955.0,"6,251 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Tuglak Road,4.0,2010105.0,"5,562 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Golf Links,5.0,1401012.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Jor bagh,5.0,1412255.0,"6,535 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Malcha Marg,5.0,2010102.0,"6,521 sq ft",Unfurnished,4.0,28.60173035,77.18534088,april2024
Delhi,Lodhi Road,4.0,1418181.0,"6,521 sq ft",Unfurnished,4.0,28.59095383,77.22794342,april2024
Delhi,Golf Links,5.0,1549118.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,4.0,1501012.0,"5,896 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,4.0,1744844.0,"5,891 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Aurungzeb Road,4.0,2162295.0,"6,251 sq ft",Unfurnished,4.0,28.60279655,77.21968079,april2024
Delhi,Malcha Marg,4.0,1549491.0,"6,521 sq ft",Unfurnished,4.0,28.60173035,77.18534088,april2024
Delhi,Prithviraj Road,5.0,1448181.0,"6,521 sq ft",Unfurnished,4.0,28.6001606,77.22097778,april2024
Delhi,Babar Road,5.0,1418182.0,"6,521 sq ft",Unfurnished,4.0,28.63135529,77.2289505,april2024
Delhi,Malcha Marg,5.0,1418182.0,"6,521 sq ft",Unfurnished,4.0,28.60173035,77.18534088,april2024
Delhi,Aurungzeb Road,5.0,1412365.0,"6,521 sq ft",Unfurnished,4.0,28.60279655,77.21968079,april2024
Delhi,Sunder Nagar,5.0,1411114.0,"5,852 sq ft",Unfurnished,4.0,28.61843681,76.96178436,april2024
Delhi,Sunder Nagar,4.0,1411812.0,"5,896 sq ft",Unfurnished,4.0,28.61843681,76.96178436,april2024
Delhi,Amrita Shergill Marg,4.0,1418182.0,"5,896 sq ft",Unfurnished,4.0,28.5969677,77.22038269,april2024
Delhi,Sunder Nagar,5.0,1549195.0,"6,521 sq ft",Unfurnished,4.0,28.61843681,76.96178436,april2024
Delhi,Prithviraj Road,5.0,1291192.0,"6,521 sq ft",Unfurnished,4.0,28.6001606,77.22097778,april2024
Delhi,Amrita Shergill Marg,4.0,1549111.0,"5,896 sq ft",Unfurnished,4.0,28.5969677,77.22038269,april2024
Delhi,Aurungzeb Road,5.0,1549195.0,"6,521 sq ft",Unfurnished,4.0,28.60279655,77.21968079,april2024
Delhi,Babar Road,5.0,1548118.0,"6,521 sq ft",Unfurnished,4.0,28.63135529,77.2289505,april2024
Delhi,Jor bagh,4.0,1548118.0,"5,896 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Jor bagh,4.0,1448184.0,"5,896 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Jor bagh,4.0,1418181.0,"5,896 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Jor bagh,4.0,1541818.0,"5,896 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Tuglak Road,5.0,1546195.0,"6,521 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Jor bagh,4.0,1410101.0,"5,896 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Prithviraj Road,5.0,1491191.0,"6,952 sq ft",Unfurnished,4.0,28.6001606,77.22097778,april2024
Delhi,Aurungzeb Road,5.0,2491184.0,"6,521 sq ft",Unfurnished,4.0,28.60279655,77.21968079,april2024
Delhi,Aurungzeb Road,5.0,1549191.0,"6,521 sq ft",Unfurnished,4.0,28.60279655,77.21968079,april2024
Delhi,Amrita Shergill Marg,12.0,3010101.0,"14,521 sq ft",Unfurnished,4.0,28.5969677,77.22038269,april2024
Delhi,Kasturba Gandhi Marg,5.0,2154919.0,"5,896 sq ft",Unfurnished,4.0,28.62281036,77.22541809,april2024
Delhi,Kasturba Gandhi Marg,4.0,1449194.0,"5,896 sq ft",Unfurnished,4.0,28.62281036,77.22541809,april2024
Delhi,Tuglak Road,5.0,1548182.0,"6,521 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Malcha Marg,4.0,1401101.0,"5,896 sq ft",Unfurnished,4.0,28.60173035,77.18534088,april2024
Delhi,Malcha Marg,5.0,1418181.0,"5,896 sq ft",Unfurnished,4.0,28.60173035,77.18534088,april2024
Delhi,Golf Links,5.0,1549191.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,5.0,1848415.0,"6,251 sq ft",Unfurnished,5.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,5.0,1548181.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,4.0,1282181.0,"5,562 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Tuglak Road,4.0,1401104.0,"5,896 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Tuglak Road,4.0,1548184.0,"5,896 sq ft",Unfurnished,4.0,28.59545326,77.21033478,april2024
Delhi,Lodhi Road,4.0,1545181.0,"5,896 sq ft",Unfurnished,4.0,28.59095383,77.22794342,april2024
Delhi,Lodhi Road,4.0,2011005.0,"5,896 sq ft",Unfurnished,4.0,28.59095383,77.22794342,april2024
Delhi,Tilak Marg,4.0,2236212.0,"5,896 sq ft",Unfurnished,4.0,28.6206398,77.23696136,april2024
Delhi,Golf Links,4.0,1548184.0,"6,251 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,5.0,2010101.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Golf Links,4.0,1546191.0,"6,521 sq ft",Unfurnished,4.0,28.59763908,77.23332977,april2024
Delhi,Jor bagh,5.0,1749194.0,"6,952 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Jor bagh,5.0,1549191.0,"6,321 sq ft",Unfurnished,4.0,28.67728996,77.15930176,april2024
Delhi,Sunder Nagar,4.0,1401100.0,"5,896 sq ft",Unfurnished,4.0,28.61843681,76.96178436,april2024
Delhi,Sunder Nagar,5.0,1549181.0,"6,521 sq ft",Unfurnished,4.0,28.61843681,76.96178436,april2024
