latitude,longitude,near_highway,near_mall,near_river,near_mountain
23.0256526,72.5265946,True,True,True,False
23.0154366,72.5292622,True,True,True,False
12.9858669,77.5331755,True,False,True,False
12.9907478,77.7467309,True,False,True,True
12.9357366,77.624081,True,True,True,False
12.9716,77.5946,True,True,True,False
12.8009043,77.7114908,True,False,True,False
13.0978039,77.5811889,True,False,True,False
12.9034581,77.6230028,True,False,True,False
12.9229728,77.4842926,True,False,True,False
13.0427796,77.5129645,True,False,True,False
12.7751249,77.7709216,True,False,True,False
12.8977737,77.6745075,True,False,True,False
13.0125961,77.5333145,True,False,True,True
12.9730088,77.5804711,True,True,True,False
13.0382184,77.5919,True,False,True,False
13.0141618,77.6518539,True,False,True,False
12.9957428,77.7579489,True,False,True,False
13.1067228,77.6173956,True,False,True,False
13.037077,77.6413572,True,False,True,False
12.8964767,77.6216675,True,False,True,False
12.9278196,77.556621,True,False,True,False
12.9999024,77.6776703,True,False,True,False
12.9732913,77.6404672,True,False,True,False
12.9058923,77.675465,True,False,True,False
12.9109539,77.5978198,True,False,True,False
12.8633887,77.6130112,True,False,True,True
12.9140008,77.6102821,True,True,True,False
12.9417261,77.5755021,True,False,True,False
12.9181024,77.5576638,True,False,True,False
13.0005232,77.5496166,True,False,True,True
13.0766407,77.5577315,True,False,True,False
12.9676625,77.6761038,True,False,True,False
12.8496783,77.6649749,True,False,True,False
12.9812262,77.6745845,True,False,True,False
13.1014045,77.6356543,True,False,True,False
12.910206,77.5639218,True,False,True,False
13.0333587,77.5581786,True,False,True,False
12.8473999,77.6724452,True,False,True,False
12.9096941,77.5866067,True,False,True,False
13.031992,77.6280789,True,False,True,False
12.9551213,77.5174955,True,False,True,False
13.0027048,77.6346165,True,False,True,False
12.945245,77.6274776,True,True,True,False
13.0254156,77.5960071,True,False,True,False
13.0522499,77.6316152,True,False,True,False
13.0394104,77.5197351,True,False,True,False
12.9975851,77.6136744,True,True,True,False
12.9652094,77.717936,True,True,True,False
12.9589406,77.6555917,True,False,True,False
13.0662319,77.6007646,True,False,True,False
12.9855509,77.668072,True,False,True,False
13.0784743,77.6068938,True,False,True,False
12.963555,77.6015856,True,True,True,False
12.8792861,77.5697529,True,False,True,False
13.050194,77.6075951,True,False,True,False
