city,locality,geo_lat,geo_lon
Ahmedabad,Zundal Circle,,
Ahmedabad,S G Highway,,
Ahmedabad,Airport Road,23.0791714,72.6107869
Ahmedabad,Gandhi Nagar,23.0601652,72.5806382
Ahmedabad,GotaOgnaj Road,,
Ahmedabad,Shahibaug Flyover,23.049496,72.5932852
Ahmedabad,Azad Society Road,,
Ahmedabad,Vijay Cross Roads,,
Ahmedabad,Bapunagar,23.0362408,72.630339
Ahmedabad,Bhagwat Vidyapith Road,23.0892382,72.5222394
Ahmedabad,gota SG higway,,
Ahmedabad,Gurukul Road,23.0458688,72.5348755
Ahmedabad,Manekbaugh,,
Ahmedabad,Sindhubhavan Road,23.0439485,72.5067183
Ahmedabad,Virat Nagar Road,,
Ahmedabad,Prahlad Nagar Road,23.0045991,72.5096372
Ahmedabad,Khamasa,23.0212928,72.5847376
Ahmedabad,Kuber Nagar,23.0735173,72.6415892
Ahmedabad,Shahibagh,,
Ahmedabad,SG Highway Service Road,23.1263903,72.5400089
Ahmedabad,Ashram Road,23.0242311,72.5713983
Ahmedabad,Bhattapaldi,,
Ahmedabad,Satellite Extension,,
Ahmedabad,Shivranjani Cross Road,,
Ahmedabad,J 18 TP 44 chandkheda,,
Ahmedabad,Sachana,23.0811398,72.1741575
Ahmedabad,Maninagar East,22.9993547,72.6137203
Ahmedabad,Vastral,22.9948656,72.6624431
Ahmedabad,Wadaj,,
Ahmedabad,Sardar Patel Ring Road,23.1296579,72.5896904
Ahmedabad,NIgam Society,,
Ahmedabad,Chandlodiya Road,23.0751633,72.5440359
Ahmedabad,Naranpura Road,23.0458191,72.5523558
Ahmedabad,Ghatlodia Road,,
Ahmedabad,SAL Hospital,23.0494743,72.5243905
Ahmedabad,Prerna Tirth Road,23.0214082,72.5198974
Ahmedabad,ISCON Cross Road,,
Ahmedabad,Chandlodiya,23.0751633,72.5440359
Ahmedabad,Khokhra Circle,,
Ahmedabad,Shahpur,23.0392105,72.5810327
Ahmedabad,Ambli Bopal Road,23.0274015,72.5064443
Ahmedabad,Hebatpur,22.1398631,72.1004929
Ahmedabad,Amraiwadi,23.0057574,72.6269822
Ahmedabad,South Bopal Road,23.0168635,72.4725529
Ahmedabad,Naroda,23.0854097,72.6580946
Ahmedabad,kolat,22.9552343,72.4222572
Ahmedabad,Ghatlodia,23.0848516,72.5303277
Ahmedabad,Ambapur,,
Ahmedabad,Drive in Rd,23.0459268,72.5368259
Ahmedabad,Parimal Garden,23.020404,72.556059
Ahmedabad,Drive In Cinema Road,23.0484229,72.5288598
Ahmedabad,Hansol,23.0759257,72.630564
Ahmedabad,Zydus Hospital Road,23.0585119,72.5174406
Ahmedabad,Ghoda Camp Road,,
Ahmedabad,Bavla,22.8278859,72.3684741
Ahmedabad,Navrang Circle,23.0474293,72.5566266
Ahmedabad,Koteshwar Road,23.1031114,72.6021329
Ahmedabad,Anjali Cross Road,23.003723,72.5538743
Ahmedabad,India Colony,23.0616704,72.6721767
Ahmedabad,Thakkarbapa Nagar,23.0388616,72.6358575
Ahmedabad,Visalpur,22.9109566,72.4869293
Ahmedabad,Chaloda,22.8032995,72.448175
Ahmedabad,Kiran Park Road,,
Ahmedabad,Vinzol,,
Ahmedabad,Meghani Nagar,,
Ahmedabad,Kalupur,23.0263312,72.601
